hw(rs1),HW
4,54
9,115
9,111
0,1
15,128
2,43
2,40
12,126
16,128
3,45
15,133
15,148
12,116
5,75
13,139
11,114
7,89
3,54
5,86
11,130
4,72
16,129
7,97
4,65
1,23
14,128
3,59
7,116
10,116
18,130
1,21
8,123
9,111
8,115
11,115
2,41
10,111
0,3
19,139
16,141
14,135
17,118
13,126
11,123
17,116
8,113
16,124
14,137
0,3
13,120
14,113
14,136
3,60
16,125
2,37
15,116
16,143
0,1
3,61
4,64
10,130
15,146
14,147
11,121
14,131
13,117
12,103
8,99
2,39
18,120
7,100
9,93
18,126
14,131
14,145
19,120
7,113
16,135
18,124
15,139
13,137
13,115
13,135
3,59
11,121
8,106
18,106
6,100
14,137
5,85
1,21
14,127
16,129
17,125
14,126
14,115
3,50
10,128
0,3
12,117
16,114
10,118
15,127
10,112
14,132
12,131
15,109
2,43
5,75
0,3
10,117
14,127
8,103
13,130
13,124
15,137
1,20
17,135
7,84
14,134
1,21
1,23
15,118
6,68
17,118
9,121
0,3
16,130
7,113
12,133
10,111
11,133
10,99
14,136
14,145
3,57
15,141
14,125
13,124
14,126
12,122
16,129
4,66
6,99
0,3
13,124
9,124
14,123
12,132
0,3
15,121
11,115
12,133
11,112
15,130
16,132
3,61
17,124
10,125
11,135
9,98
13,127
10,127
0,3
13,128
10,130
16,127
14,118
14,130
4,73
20,159
13,119
17,120
4,68
15,127
8,93
16,135
14,128
13,126
5,81
9,109
3,49
7,82
17,126
1,23
8,105
4,69
11,136
14,123
2,36
14,126
17,127
16,119
11,113
8,116
19,125
15,129
5,76
16,121
7,86
12,131
7,107
2,36
17,143
6,69
8,111
17,129
14,123
17,134
15,129
10,105
11,124
14,132
19,138
6,94
6,93
7,98
3,54
8,87
7,97
16,137
12,107
1,21
9,112
16,138
13,120
0,3
17,123
18,114
14,135
15,146
17,118
5,71
14,125
5,81
17,142
10,111
11,111
13,132
15,117
5,85
15,118
7,103
17,134
5,82
16,125
1,21
11,129
14,131
15,124
16,130
7,94
2,34
15,128
17,133
14,117
16,137
14,143
16,123
16,120
9,98
3,55
6,86
10,128
12,117
10,134
12,122
16,122
13,104
8,101
17,138
6,80
2,40
15,144
6,73
17,116
8,102
16,110
15,121
13,142
1,23
1,23
13,132
10,103
2,41
17,136
14,118
14,125
6,87
18,127
7,104
14,132
14,126
15,140
1,23
11,126
9,116
20,126
8,98
16,136
5,75
1,23
16,123
14,123
16,136
6,95
9,99
14,134
1,23
12,137
2,39
10,118
11,121
16,151
13,112
0,1
14,126
